image path: G000_IMG058.jpg, distances: [     7.0059      1.7601      6.1644      6.2512], match: True, time: 0.2937302589416504
image path: G000_IMG059.jpg, distances: [     5.7034      11.867     0.52647      9.3233], match: True, time: 0.3003427982330322
image path: G000_IMG060.jpg, distances: [     6.4455      11.115      12.812      2.3924], match: True, time: 0.3075721263885498
image path: G000_IMG061.jpg, distances: [     5.3606     0.43719      4.2683      2.8802], match: True, time: 0.30626559257507324
image path: G000_IMG062.jpg, distances: [     5.8187      14.045      6.6441      3.8683], match: True, time: 0.2975904941558838
image path: G000_IMG063.jpg, distances: [      8.246      6.3548      3.8548      9.4022], match: True, time: 0.4142634868621826
image path: G000_IMG064.jpg, distances: [     7.4481      8.4748      8.5125      2.0036], match: True, time: 0.23813724517822266
image path: G000_IMG065.jpg, distances: [     2.7458      5.9156      6.8201      9.6601], match: True, time: 0.3759040832519531
image path: G000_IMG066.jpg, distances: [     11.153      1.9723        6.64      7.4471], match: True, time: 0.30973219871520996
image path: G000_IMG067.jpg, distances: [     4.3688      10.883      3.8376      7.4305], match: True, time: 0.5066044330596924
image path: G000_IMG068.jpg, distances: [     4.9579      5.5307      7.0536      13.789], match: True, time: 0.3350398540496826
image path: G000_IMG069.jpg, distances: [     17.557      11.753      11.911      4.7403], match: True, time: 0.41643238067626953
image path: G000_IMG070.jpg, distances: [     8.1873      8.8966      4.0174      14.003], match: True, time: 0.38962411880493164
image path: G000_IMG071.jpg, distances: [     16.594      6.1276      13.894      7.9914], match: True, time: 0.3654904365539551
image path: G000_IMG072.jpg, distances: [     4.6394      4.7389         8.5       4.749], match: True, time: 0.2967958450317383
image path: G000_IMG073.jpg, distances: [    0.78496      4.8414      5.5067      11.024], match: True, time: 0.4663426876068115
image path: G000_IMG074.jpg, distances: [     5.6135      22.475       9.529       4.654], match: True, time: 0.44469547271728516
image path: G000_IMG075.jpg, distances: [     7.3878      3.4193      3.6979      12.636], match: True, time: 0.399730920791626
image path: G000_IMG076.jpg, distances: [     1.9976       2.087      11.347      2.1145], match: True, time: 0.3385298252105713
image path: G000_IMG077.jpg, distances: [     8.6083      8.8817      12.488      3.6735], match: True, time: 0.23772573471069336
image path: G000_IMG078.jpg, distances: [     2.5905      7.5088      14.525      1.0379], match: True, time: 0.3636474609375
image path: G000_IMG079.jpg, distances: [     6.0118      3.4328      4.3212      9.4602], match: True, time: 0.3445920944213867
image path: G000_IMG080.jpg, distances: [     8.0183      12.302      4.8854      2.7957], match: True, time: 0.28596973419189453
image path: G000_IMG081.jpg, distances: [     5.7395      8.8135       1.127      12.344], match: True, time: 0.3230738639831543
image path: G000_IMG082.jpg, distances: [     25.715      4.8446     0.47734      4.9385], match: True, time: 0.42159175872802734
image path: G000_IMG083.jpg, distances: [     4.6316      3.9435      6.7981      1.3018], match: True, time: 0.3304619789123535
image path: G000_IMG084.jpg, distances: [     2.7238      6.7145      12.206      4.8301], match: True, time: 0.31502366065979004
image path: G000_IMG085.jpg, distances: [     2556.4        3395      2074.5      1276.9], match: False, time: 0.19470524787902832
image path: G000_IMG086.jpg, distances: [     5.7893      1.7895      10.449      3.4174], match: True, time: 0.4549398422241211
image path: G000_IMG087.jpg, distances: [     4.7025      9.1319      5.8904      2.9074], match: True, time: 0.32775282859802246
image path: G000_IMG088.jpg, distances: [     2.3881      8.8232      14.693      2.2965], match: True, time: 0.45696115493774414
image path: G000_IMG089.jpg, distances: [     7.5711      6.4166      7.3386      12.085], match: True, time: 0.45345425605773926
image path: G000_IMG090.jpg, distances: [     2.9385      3.6328      3.5553      13.913], match: True, time: 0.39533019065856934
image path: G000_IMG091.jpg, distances: [     5.4851      4.3137      7.6015      2.5237], match: True, time: 0.351391077041626
image path: G000_IMG092.jpg, distances: [     3.1929      9.2105     0.96265      5.1358], match: True, time: 0.47620606422424316
image path: G000_IMG093.jpg, distances: [     5.8302      1.9231      6.4881        1.11], match: True, time: 0.40370917320251465
image path: G000_IMG094.jpg, distances: [      11.48      12.159      11.897      10.788], match: True, time: 0.3753526210784912
image path: G000_IMG095.jpg, distances: [     17.856      14.155      9.1069      8.5622], match: True, time: 0.2711057662963867
image path: G000_IMG096.jpg, distances: [     11.284      4.6184      14.213        6.53], match: True, time: 0.3707880973815918
image path: G000_IMG097.jpg, distances: [     10.906      3.7041      5.3496      1.6625], match: True, time: 0.21192169189453125
image path: G000_IMG098.jpg, distances: [    0.84025      5.1776      13.791      8.9468], match: True, time: 0.2856161594390869
image path: G000_IMG099.jpg, distances: [     5.1258      8.8543      6.5889      4.0887], match: True, time: 0.3274669647216797
image path: G000_IMG100.jpg, distances: [     3.0429      9.1948      4.4896      4.4317], match: True, time: 0.4038276672363281
image path: G000_IMG101.jpg, distances: [     18.987      6.3682      5.9122      11.559], match: True, time: 0.35473084449768066
