image path: G000_IMG058.jpg, distances: [     3.4836      1.1277      5.3983      2.9555], match: True, time: 6.461336135864258
image path: G000_IMG059.jpg, distances: [     2.2911       3.271      3.1707      1.1885], match: True, time: 6.481111288070679
image path: G000_IMG060.jpg, distances: [     8.1357      4.4819      5.8393      3.2881], match: True, time: 5.481754779815674
image path: G000_IMG061.jpg, distances: [     20.015      7.0622      7.1834      16.787], match: True, time: 7.637880325317383
image path: G000_IMG062.jpg, distances: [     4.6721      2.0181      2.2871      4.5848], match: True, time: 6.054166316986084
image path: G000_IMG063.jpg, distances: [     6.0821       2.668      3.8968      4.1681], match: True, time: 6.390301704406738
image path: G000_IMG064.jpg, distances: [     10.762      14.326      154.75      147.34], match: False, time: 4.240399122238159
image path: G000_IMG065.jpg, distances: [      3.033       6.768      7.4596      2.2211], match: True, time: 6.155743360519409
image path: G000_IMG066.jpg, distances: [     5.0733      2.8178      8.3114      4.8365], match: True, time: 5.436920166015625
image path: G000_IMG067.jpg, distances: [      6.889      4.7894      6.6069      2.2959], match: True, time: 6.475851058959961
image path: G000_IMG068.jpg, distances: [     6.5137      8.8097      6.5122      2.8377], match: True, time: 6.789103746414185
image path: G000_IMG069.jpg, distances: [     5.9017       2.539      5.8279      1.2313], match: True, time: 7.245730638504028
image path: G000_IMG070.jpg, distances: [     3.1813     0.93092      3.6217      9.6592], match: True, time: 6.970783233642578
image path: G000_IMG071.jpg, distances: [     12.961       16.34       4.456      3.2013], match: True, time: 4.665621757507324
image path: G000_IMG072.jpg, distances: [     3.3514      3.2583      5.2936      5.3923], match: True, time: 6.530508041381836
image path: G000_IMG073.jpg, distances: [     1.2333      4.4876        2.14      4.0462], match: True, time: 6.40379786491394
image path: G000_IMG074.jpg, distances: [     2.8432      2.5029     0.99037      5.6149], match: True, time: 7.100034713745117
image path: G000_IMG075.jpg, distances: [      2.043      4.4635      3.5152      8.8673], match: True, time: 6.198565721511841
image path: G000_IMG076.jpg, distances: [     2.7586       7.395      415.44      67.274], match: False, time: 6.046470880508423
image path: G000_IMG077.jpg, distances: [     5.8786      3.5157      3.1215      5.0362], match: True, time: 6.7075111865997314
image path: G000_IMG078.jpg, distances: [     2.3263      6.1716      1.6371       3.838], match: True, time: 6.399854421615601
